Statistic,Month,Type of Animal,UNIT,VALUE
Number of Livestock Slaughtered,2003M07,Cattle (Including Calves),000 Head,157.3
Number of Livestock Slaughtered,2003M07,Cattle without Calves,000 Head,157.1
Number of Livestock Slaughtered,2003M08,Sheep,000 Head,305.6
Number of Livestock Slaughtered,2003M08,Pigs,000 Head,227.2
Number of Livestock Slaughtered,2003M08,Bullocks,000 Head,84.7
Number of Livestock Slaughtered,2003M08,Bulls,000 Head,5.7
Number of Livestock Slaughtered,2003M08,Cows,000 Head,25.5
Number of Livestock Slaughtered,2003M08,Heifers,000 Head,36.4
Number of Livestock Slaughtered,2003M08,Calves,000 Head,0.2
Number of Livestock Slaughtered,2003M08,Lambs,000 Head,265.6
Number of Livestock Slaughtered,2003M08,Cattle (Including Calves),000 Head,152.6
Number of Livestock Slaughtered,2003M08,Cattle without Calves,000 Head,152.3
Number of Livestock Slaughtered,2003M09,Sheep,000 Head,329.9
Number of Livestock Slaughtered,2003M09,Pigs,000 Head,239.6
Number of Livestock Slaughtered,2003M09,Bullocks,000 Head,103.9
Number of Livestock Slaughtered,2003M09,Bulls,000 Head,5.9
Number of Livestock Slaughtered,2003M09,Cows,000 Head,31
Number of Livestock Slaughtered,2003M09,Heifers,000 Head,42
Number of Livestock Slaughtered,2003M09,Calves,000 Head,0.3
Number of Livestock Slaughtered,2003M09,Lambs,000 Head,278.6
Number of Livestock Slaughtered,2003M09,Cattle (Including Calves),000 Head,183.1
Number of Livestock Slaughtered,2003M09,Cattle without Calves,000 Head,182.8
Number of Livestock Slaughtered,2003M10,Sheep,000 Head,281.3
Number of Livestock Slaughtered,2003M10,Pigs,000 Head,251.5
Number of Livestock Slaughtered,2003M10,Bullocks,000 Head,102.6
Number of Livestock Slaughtered,2003M10,Bulls,000 Head,6.5
Number of Livestock Slaughtered,2003M10,Cows,000 Head,34.8
Number of Livestock Slaughtered,2003M10,Heifers,000 Head,50.4
Number of Livestock Slaughtered,2003M10,Calves,000 Head,0.2
Number of Livestock Slaughtered,2003M10,Lambs,000 Head,237.5
Number of Livestock Slaughtered,2003M10,Cattle (Including Calves),000 Head,194.5
Number of Livestock Slaughtered,2003M10,Cattle without Calves,000 Head,194.4
Number of Livestock Slaughtered,2003M11,Sheep,000 Head,238.8
Number of Livestock Slaughtered,2003M11,Pigs,000 Head,224.3
Number of Livestock Slaughtered,2003M11,Bullocks,000 Head,76
Number of Livestock Slaughtered,2003M11,Bulls,000 Head,7.2
Number of Livestock Slaughtered,2003M11,Cows,000 Head,36.9
Number of Livestock Slaughtered,2003M11,Heifers,000 Head,54.8
Number of Livestock Slaughtered,2003M11,Calves,000 Head,0.1
Number of Livestock Slaughtered,2003M11,Lambs,000 Head,204.6
Number of Livestock Slaughtered,2003M11,Cattle (Including Calves),000 Head,175.1
Number of Livestock Slaughtered,2003M11,Cattle without Calves,000 Head,175
Number of Livestock Slaughtered,2003M12,Sheep,000 Head,254.7
Number of Livestock Slaughtered,2003M12,Pigs,000 Head,220.4
Number of Livestock Slaughtered,2003M12,Bullocks,000 Head,55.5
Number of Livestock Slaughtered,2003M12,Bulls,000 Head,7.2
Number of Livestock Slaughtered,2003M12,Cows,000 Head,27
Number of Livestock Slaughtered,2003M12,Heifers,000 Head,52.7
Number of Livestock Slaughtered,2003M12,Calves,000 Head,0.1
Number of Livestock Slaughtered,2003M12,Lambs,000 Head,230.9
Number of Livestock Slaughtered,2003M12,Cattle (Including Calves),000 Head,142.5
Number of Livestock Slaughtered,2003M12,Cattle without Calves,000 Head,142.4
Number of Livestock Slaughtered,2004M01,Sheep,000 Head,234.2
Number of Livestock Slaughtered,2004M01,Pigs,000 Head,240
Number of Livestock Slaughtered,2004M01,Bullocks,000 Head,60.8
Number of Livestock Slaughtered,2004M01,Bulls,000 Head,6.7
Number of Livestock Slaughtered,2004M01,Cows,000 Head,22.8
Number of Livestock Slaughtered,2004M01,Heifers,000 Head,51.1
Number of Livestock Slaughtered,2004M01,Calves,000 Head,0.1
Number of Livestock Slaughtered,2004M01,Lambs,000 Head,211.8
Number of Livestock Slaughtered,2004M01,Cattle (Including Calves),000 Head,141.5
Number of Livestock Slaughtered,2004M01,Cattle without Calves,000 Head,141.4
Number of Livestock Slaughtered,2004M02,Sheep,000 Head,177.2
Number of Livestock Slaughtered,2004M02,Pigs,000 Head,209.1
Number of Livestock Slaughtered,2004M02,Bullocks,000 Head,63.8
Number of Livestock Slaughtered,2004M02,Bulls,000 Head,6
Number of Livestock Slaughtered,2004M02,Cows,000 Head,21.5
Number of Livestock Slaughtered,2004M02,Heifers,000 Head,42.6
Number of Livestock Slaughtered,2004M02,Calves,000 Head,0.1
Number of Livestock Slaughtered,2004M02,Lambs,000 Head,159
Number of Livestock Slaughtered,2004M02,Cattle (Including Calves),000 Head,134
Number of Livestock Slaughtered,2004M02,Cattle without Calves,000 Head,133.9
Number of Livestock Slaughtered,2004M03,Sheep,000 Head,198.4
Number of Livestock Slaughtered,2004M03,Pigs,000 Head,235.6
Number of Livestock Slaughtered,2004M03,Bullocks,000 Head,78.3
Number of Livestock Slaughtered,2004M03,Bulls,000 Head,8.3
Number of Livestock Slaughtered,2004M03,Cows,000 Head,23.3
Number of Livestock Slaughtered,2004M03,Heifers,000 Head,38.6
Number of Livestock Slaughtered,2004M03,Calves,000 Head,0.4
Number of Livestock Slaughtered,2004M03,Lambs,000 Head,174.7
Number of Livestock Slaughtered,2004M03,Cattle (Including Calves),000 Head,148.9
Number of Livestock Slaughtered,2004M03,Cattle without Calves,000 Head,148.5
Number of Livestock Slaughtered,2004M04,Sheep,000 Head,270.8
Number of Livestock Slaughtered,2004M04,Pigs,000 Head,226.2
Number of Livestock Slaughtered,2004M04,Bullocks,000 Head,73.3
Number of Livestock Slaughtered,2004M04,Bulls,000 Head,10.1
Number of Livestock Slaughtered,2004M04,Cows,000 Head,20.8
Number of Livestock Slaughtered,2004M04,Heifers,000 Head,35.3
Number of Livestock Slaughtered,2004M04,Calves,000 Head,0.3
Number of Livestock Slaughtered,2004M04,Lambs,000 Head,231.8
Number of Livestock Slaughtered,2004M04,Cattle (Including Calves),000 Head,139.8
Number of Livestock Slaughtered,2004M04,Cattle without Calves,000 Head,139.5
Number of Livestock Slaughtered,2004M05,Sheep,000 Head,303.5
Number of Livestock Slaughtered,2004M05,Pigs,000 Head,201.5
Number of Livestock Slaughtered,2004M05,Bullocks,000 Head,54.4
Number of Livestock Slaughtered,2004M05,Bulls,000 Head,14.3
Number of Livestock Slaughtered,2004M05,Cows,000 Head,20.7
Number of Livestock Slaughtered,2004M05,Heifers,000 Head,30.7
Number of Livestock Slaughtered,2004M05,Calves,000 Head,0.3
Number of Livestock Slaughtered,2004M05,Lambs,000 Head,268.6
Number of Livestock Slaughtered,2004M05,Cattle (Including Calves),000 Head,120.4
Number of Livestock Slaughtered,2004M05,Cattle without Calves,000 Head,120.1
Number of Livestock Slaughtered,2004M06,Sheep,000 Head,331.7
Number of Livestock Slaughtered,2004M06,Pigs,000 Head,225.7
Number of Livestock Slaughtered,2004M06,Bullocks,000 Head,46.3
Number of Livestock Slaughtered,2004M06,Bulls,000 Head,13.3
Number of Livestock Slaughtered,2004M06,Cows,000 Head,27.9
Number of Livestock Slaughtered,2004M06,Heifers,000 Head,30.9
Number of Livestock Slaughtered,2004M06,Calves,000 Head,0.3
Number of Livestock Slaughtered,2004M06,Lambs,000 Head,293.8
Number of Livestock Slaughtered,2004M06,Cattle (Including Calves),000 Head,118.7
Number of Livestock Slaughtered,2004M06,Cattle without Calves,000 Head,118.5
Number of Livestock Slaughtered,2004M07,Sheep,000 Head,346.8
Number of Livestock Slaughtered,2004M07,Pigs,000 Head,221.3
Number of Livestock Slaughtered,2004M07,Bullocks,000 Head,66.7
Number of Livestock Slaughtered,2004M07,Bulls,000 Head,9.5
Number of Livestock Slaughtered,2004M07,Cows,000 Head,30
Number of Livestock Slaughtered,2004M07,Heifers,000 Head,33.8
Number of Livestock Slaughtered,2004M07,Calves,000 Head,0.2
Number of Livestock Slaughtered,2004M07,Lambs,000 Head,300.9
Number of Livestock Slaughtered,2004M07,Cattle (Including Calves),000 Head,140.2
Number of Livestock Slaughtered,2004M07,Cattle without Calves,000 Head,140
Number of Livestock Slaughtered,2004M08,Sheep,000 Head,353.9
Number of Livestock Slaughtered,2004M08,Pigs,000 Head,232.8
Number of Livestock Slaughtered,2004M08,Bullocks,000 Head,83.5
Number of Livestock Slaughtered,2004M08,Bulls,000 Head,8.6
Number of Livestock Slaughtered,2004M08,Cows,000 Head,31.4
Number of Livestock Slaughtered,2004M08,Heifers,000 Head,34.9
Number of Livestock Slaughtered,2004M08,Calves,000 Head,0.2
Number of Livestock Slaughtered,2004M08,Lambs,000 Head,301.1
Number of Livestock Slaughtered,2004M08,Cattle (Including Calves),000 Head,158.6
Number of Livestock Slaughtered,2004M08,Cattle without Calves,000 Head,158.4
Number of Livestock Slaughtered,2004M09,Sheep,000 Head,379.4
Number of Livestock Slaughtered,2004M09,Pigs,000 Head,239
Number of Livestock Slaughtered,2004M09,Bullocks,000 Head,96.3
Number of Livestock Slaughtered,2004M09,Bulls,000 Head,8.1
Number of Livestock Slaughtered,2004M09,Cows,000 Head,31.2
Number of Livestock Slaughtered,2004M09,Heifers,000 Head,39.3
Number of Livestock Slaughtered,2004M09,Calves,000 Head,0.2
Number of Livestock Slaughtered,2004M09,Lambs,000 Head,318.8
Number of Livestock Slaughtered,2004M09,Cattle (Including Calves),000 Head,175.1
Number of Livestock Slaughtered,2004M09,Cattle without Calves,000 Head,174.9
Number of Livestock Slaughtered,2004M10,Sheep,000 Head,346.6
Number of Livestock Slaughtered,2004M10,Pigs,000 Head,219.9
Number of Livestock Slaughtered,2004M10,Bullocks,000 Head,93.6
Number of Livestock Slaughtered,2004M10,Bulls,000 Head,8.5
Number of Livestock Slaughtered,2004M10,Cows,000 Head,36.4
Number of Livestock Slaughtered,2004M10,Heifers,000 Head,42.1
Number of Livestock Slaughtered,2004M10,Calves,000 Head,0.2
Number of Livestock Slaughtered,2004M10,Lambs,000 Head,290.3
Number of Livestock Slaughtered,2004M10,Cattle (Including Calves),000 Head,180.8
Number of Livestock Slaughtered,2004M10,Cattle without Calves,000 Head,180.6
Number of Livestock Slaughtered,2004M11,Sheep,000 Head,317.1
Number of Livestock Slaughtered,2004M11,Pigs,000 Head,245.9
Number of Livestock Slaughtered,2004M11,Bullocks,000 Head,86.2
Number of Livestock Slaughtered,2004M11,Bulls,000 Head,10.1
Number of Livestock Slaughtered,2004M11,Cows,000 Head,41.6
Number of Livestock Slaughtered,2004M11,Heifers,000 Head,53.2
Number of Livestock Slaughtered,2004M11,Calves,000 Head,0
Number of Livestock Slaughtered,2004M11,Lambs,000 Head,268.5
Number of Livestock Slaughtered,2004M11,Cattle (Including Calves),000 Head,191.2
Number of Livestock Slaughtered,2004M11,Cattle without Calves,000 Head,191.2
Number of Livestock Slaughtered,2004M12,Sheep,000 Head,305.8
Number of Livestock Slaughtered,2004M12,Pigs,000 Head,214
Number of Livestock Slaughtered,2004M12,Bullocks,000 Head,60.3
Number of Livestock Slaughtered,2004M12,Bulls,000 Head,10.7
Number of Livestock Slaughtered,2004M12,Cows,000 Head,36.1
Number of Livestock Slaughtered,2004M12,Heifers,000 Head,58.4
Number of Livestock Slaughtered,2004M12,Calves,000 Head,0.1
Number of Livestock Slaughtered,2004M12,Lambs,000 Head,264.4
Number of Livestock Slaughtered,2004M12,Cattle (Including Calves),000 Head,165.5
Number of Livestock Slaughtered,2004M12,Cattle without Calves,000 Head,165.5
Number of Livestock Slaughtered,2005M01,Sheep,000 Head,244.3
Number of Livestock Slaughtered,2005M01,Pigs,000 Head,225.7
Number of Livestock Slaughtered,2005M01,Bullocks,000 Head,34
Number of Livestock Slaughtered,2005M01,Bulls,000 Head,6
Number of Livestock Slaughtered,2005M01,Cows,000 Head,14
Number of Livestock Slaughtered,2005M01,Heifers,000 Head,30.8
Number of Livestock Slaughtered,2005M01,Calves,000 Head,0
Number of Livestock Slaughtered,2005M01,Lambs,000 Head,206.1
Number of Livestock Slaughtered,2005M01,Cattle (Including Calves),000 Head,84.8
Number of Livestock Slaughtered,2005M01,Cattle without Calves,000 Head,84.7
Number of Livestock Slaughtered,2005M02,Sheep,000 Head,215.2
Number of Livestock Slaughtered,2005M02,Pigs,000 Head,206.7
Number of Livestock Slaughtered,2005M02,Bullocks,000 Head,62.6
Number of Livestock Slaughtered,2005M02,Bulls,000 Head,8.3
Number of Livestock Slaughtered,2005M02,Cows,000 Head,20.9
Number of Livestock Slaughtered,2005M02,Heifers,000 Head,40
Number of Livestock Slaughtered,2005M02,Calves,000 Head,0
Number of Livestock Slaughtered,2005M02,Lambs,000 Head,178.5
Number of Livestock Slaughtered,2005M02,Cattle (Including Calves),000 Head,131.9
Number of Livestock Slaughtered,2005M02,Cattle without Calves,000 Head,131.8
Number of Livestock Slaughtered,2005M03,Sheep,000 Head,272.6
Number of Livestock Slaughtered,2005M03,Pigs,000 Head,227.6
Number of Livestock Slaughtered,2005M03,Bullocks,000 Head,71.9
Number of Livestock Slaughtered,2005M03,Bulls,000 Head,9.9
Number of Livestock Slaughtered,2005M03,Cows,000 Head,21.3
Number of Livestock Slaughtered,2005M03,Heifers,000 Head,35.8
Number of Livestock Slaughtered,2005M03,Calves,000 Head,0.2
Number of Livestock Slaughtered,2005M03,Lambs,000 Head,229.2
Number of Livestock Slaughtered,2005M03,Cattle (Including Calves),000 Head,139
Number of Livestock Slaughtered,2005M03,Cattle without Calves,000 Head,138.9
Number of Livestock Slaughtered,2005M04,Sheep,000 Head,219.8
Number of Livestock Slaughtered,2005M04,Pigs,000 Head,225.6
Number of Livestock Slaughtered,2005M04,Bullocks,000 Head,64.6
Number of Livestock Slaughtered,2005M04,Bulls,000 Head,9.9
Number of Livestock Slaughtered,2005M04,Cows,000 Head,22.4
Number of Livestock Slaughtered,2005M04,Heifers,000 Head,32.8
Number of Livestock Slaughtered,2005M04,Calves,000 Head,0.1
Number of Livestock Slaughtered,2005M04,Lambs,000 Head,187.6
Number of Livestock Slaughtered,2005M04,Cattle (Including Calves),000 Head,129.8
Number of Livestock Slaughtered,2005M04,Cattle without Calves,000 Head,129.7
Number of Livestock Slaughtered,2005M05,Sheep,000 Head,347.4
Number of Livestock Slaughtered,2005M05,Pigs,000 Head,215.8
Number of Livestock Slaughtered,2005M05,Bullocks,000 Head,58.4
Number of Livestock Slaughtered,2005M05,Bulls,000 Head,12.6
Number of Livestock Slaughtered,2005M05,Cows,000 Head,28.9
Number of Livestock Slaughtered,2005M05,Heifers,000 Head,33.1
Number of Livestock Slaughtered,2005M05,Calves,000 Head,0.1
Number of Livestock Slaughtered,2005M05,Lambs,000 Head,303.6
Number of Livestock Slaughtered,2005M05,Cattle (Including Calves),000 Head,133
Number of Livestock Slaughtered,2005M05,Cattle without Calves,000 Head,132.9
Number of Livestock Slaughtered,2005M06,Sheep,000 Head,346
Number of Livestock Slaughtered,2005M06,Pigs,000 Head,219.2
Number of Livestock Slaughtered,2005M06,Bullocks,000 Head,54.8
Number of Livestock Slaughtered,2005M06,Bulls,000 Head,14.5
Number of Livestock Slaughtered,2005M06,Cows,000 Head,31.9
Number of Livestock Slaughtered,2005M06,Heifers,000 Head,34.5
Number of Livestock Slaughtered,2005M06,Calves,000 Head,0.1
Number of Livestock Slaughtered,2005M06,Lambs,000 Head,308.1
Number of Livestock Slaughtered,2005M06,Cattle (Including Calves),000 Head,135.8
Number of Livestock Slaughtered,2005M06,Cattle without Calves,000 Head,135.7
Number of Livestock Slaughtered,2005M07,Sheep,000 Head,321.9
Number of Livestock Slaughtered,2005M07,Pigs,000 Head,212.8
Number of Livestock Slaughtered,2005M07,Bullocks,000 Head,57.8
Number of Livestock Slaughtered,2005M07,Bulls,000 Head,8.9
Number of Livestock Slaughtered,2005M07,Cows,000 Head,30.3
Number of Livestock Slaughtered,2005M07,Heifers,000 Head,29.7
Number of Livestock Slaughtered,2005M07,Calves,000 Head,0.1
Number of Livestock Slaughtered,2005M07,Lambs,000 Head,281.7
Number of Livestock Slaughtered,2005M07,Cattle (Including Calves),000 Head,126.7
Number of Livestock Slaughtered,2005M07,Cattle without Calves,000 Head,126.6
Number of Livestock Slaughtered,2005M08,Sheep,000 Head,345.4
Number of Livestock Slaughtered,2005M08,Pigs,000 Head,228.1
Number of Livestock Slaughtered,2005M08,Bullocks,000 Head,71.7
Number of Livestock Slaughtered,2005M08,Bulls,000 Head,10.2
Number of Livestock Slaughtered,2005M08,Cows,000 Head,33.3
Number of Livestock Slaughtered,2005M08,Heifers,000 Head,35.3
Number of Livestock Slaughtered,2005M08,Calves,000 Head,0.1
Number of Livestock Slaughtered,2005M08,Lambs,000 Head,290.8
Number of Livestock Slaughtered,2005M08,Cattle (Including Calves),000 Head,150.6
Number of Livestock Slaughtered,2005M08,Cattle without Calves,000 Head,150.5
Number of Livestock Slaughtered,2005M09,Sheep,000 Head,343.1
Number of Livestock Slaughtered,2005M09,Pigs,000 Head,219.8
Number of Livestock Slaughtered,2005M09,Bullocks,000 Head,89.2
Number of Livestock Slaughtered,2005M09,Bulls,000 Head,8.9
Number of Livestock Slaughtered,2005M09,Cows,000 Head,35.2
Number of Livestock Slaughtered,2005M09,Heifers,000 Head,36.5
Number of Livestock Slaughtered,2005M09,Calves,000 Head,0
Number of Livestock Slaughtered,2005M09,Lambs,000 Head,282.9
Number of Livestock Slaughtered,2005M09,Cattle (Including Calves),000 Head,169.9
Number of Livestock Slaughtered,2005M09,Cattle without Calves,000 Head,169.8
Number of Livestock Slaughtered,2005M10,Sheep,000 Head,320.2
Number of Livestock Slaughtered,2005M10,Pigs,000 Head,209
Number of Livestock Slaughtered,2005M10,Bullocks,000 Head,73.8
Number of Livestock Slaughtered,2005M10,Bulls,000 Head,7.5
Number of Livestock Slaughtered,2005M10,Cows,000 Head,34.1
Number of Livestock Slaughtered,2005M10,Heifers,000 Head,36.7
Number of Livestock Slaughtered,2005M10,Calves,000 Head,0.2
Number of Livestock Slaughtered,2005M10,Lambs,000 Head,263.1
Number of Livestock Slaughtered,2005M10,Cattle (Including Calves),000 Head,152.3
Number of Livestock Slaughtered,2005M10,Cattle without Calves,000 Head,152.1
Number of Livestock Slaughtered,2005M11,Sheep,000 Head,333.1
Number of Livestock Slaughtered,2005M11,Pigs,000 Head,247.9
Number of Livestock Slaughtered,2005M11,Bullocks,000 Head,86.7
Number of Livestock Slaughtered,2005M11,Bulls,000 Head,9.2
Number of Livestock Slaughtered,2005M11,Cows,000 Head,40.8
Number of Livestock Slaughtered,2005M11,Heifers,000 Head,48.4
Number of Livestock Slaughtered,2005M11,Calves,000 Head,0.1
Number of Livestock Slaughtered,2005M11,Lambs,000 Head,282.4
Number of Livestock Slaughtered,2005M11,Cattle (Including Calves),000 Head,185.2
Number of Livestock Slaughtered,2005M11,Cattle without Calves,000 Head,185
Number of Livestock Slaughtered,2005M12,Sheep,000 Head,304.1
Number of Livestock Slaughtered,2005M12,Pigs,000 Head,218.6
Number of Livestock Slaughtered,2005M12,Bullocks,000 Head,61.7
Number of Livestock Slaughtered,2005M12,Bulls,000 Head,10
Number of Livestock Slaughtered,2005M12,Cows,000 Head,29
Number of Livestock Slaughtered,2005M12,Heifers,000 Head,45.1
