TIME,GEO,MEAT,MEATITEM,UNIT,Value,Flag and Footnotes
1993M05,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),141.34,
1993M05,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M05,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M05,Ireland,Bovine meat,Slaughterings,Thousand tonnes,30.5,
1993M05,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),98,
1993M05,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.2,
1993M05,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),246.5,
1993M05,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,9.2,
1993M05,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),454,
1993M05,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M05,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M06,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,136.71,
1993M06,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),449.29,
1993M06,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,323.98,
1993M06,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,571.34",
1993M06,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,4.75,
1993M06,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),261.38,
1993M06,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1993M06,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M06,Ireland,Bovine meat,Slaughterings,Thousand tonnes,34.1,
1993M06,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),107.9,
1993M06,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.6,
1993M06,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),256.9,
1993M06,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,8.9,
1993M06,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),438,
1993M06,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1993M06,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1993M07,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,118.46,
1993M07,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),390.89,
1993M07,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,293.99,
1993M07,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,262.69",
1993M07,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.28,
